Occurrence,Lattitude,Longitude,Location,IncidentSu,Vessel,Web,Notes
02/01/2010,53.311291,-2.844945,"Location: C22 light float on the River Mersey, England.",Contact made by ro-ro cargo ferry Celtic Star with light float,Merchant vessel 100 gross tons or over,https://www.gov.uk/maib-reports/contact-made-by-ro-ro-cargo-ferry-celtic-star-with-a-light-float-on-the-river-mersey-england,Not sure about the exact location as description very vague
19/01/2010,53.631755,-0.168899,"Location: Immingham Oil Terminal, England.",Parting of mooring ropes from unmanned general cargo vessel Fast Ann and subsequent contact with jetty,Merchant vessel 100 gross tons or over,https://www.gov.uk/maib-reports/parting-of-mooring-ropes-from-unmanned-general-cargo-vessel-fast-ann-and-subsequent-contact-with-jetty-in-immingham-oil-terminal-england, 
27/01/2010,55.460794,-5.055431,"Location: 3.5' north-east of Pladda lighthouse, Firth of Clyde, Scotland.",Collision between general cargo vessel Leeswig and trawler Spes Bona V,Merchant vessel 100 gross tons or over and 1 others,https://www.gov.uk/maib-reports/collision-between-general-cargo-vessel-leeswig-trawler-spes-bona-v-in-the-firth-of-clyde-scotland, 
29/01/2010,51.466773,0.290762,"Location: West Thurrock, River Thames, England.",Failure of stores crane on trailing suction hopper dredger Sand Falcon,Merchant vessel 100 gross tons or over,https://www.gov.uk/maib-reports/failure-of-stores-crane-on-trailing-suction-hopper-dredger-sand-falcon-at-west-thurrock-river-thames-england, 
02/02/2010,50.066667,-5,"Location: Falmouth Bay, England.",Fire in machinery space on ro-ro passenger ferry Oscar Wilde,Merchant vessel 100 gross tons or over,https://www.gov.uk/maib-reports/fire-in-machinery-space-on-ro-ro-passenger-ferry-oscar-wilde-in-falmouth-bay-england, 
06/02/2010,55.786761,-5.526068,"Location: Kennacraig, West Loch Tarbert, Kintyre, Scotland.",Mechanical failure on ro-ro passenger ferry Isle of Arran resulting in contact with linkspan,Merchant vessel 100 gross tons or over,https://www.gov.uk/maib-reports/mechanical-failure-on-ro-ro-passenger-ferry-isle-of-arran-resulting-in-contact-with-linkspan-at-west-loch-tarbert-kintyre-scotland, 
20/02/2010,51.612,-5.054667,"Location: Crow Rock off Linney Head, Wales",Grounding and subsequent sinking of crabber Kerloch,Fishing vessel,https://www.gov.uk/maib-reports/grounding-and-subsequent-sinking-of-crabber-kerloch-off-linney-head-wales, 
24/02/2010,56.623339,-6.003344,"Location: Western shores of Morvern, Scotland.",Grounding of live fish carrier Ronja Skye,Merchant vessel 100 gross tons or over and 1 others,https://www.gov.uk/maib-reports/grounding-of-live-fish-carrier-ronja-skye-on-morvern-west-coast-of-scotland, 
07/03/2010,50.899851,-1.414865,"Location: Berthed at the Port of Southampton, England.",Lifting equipment failure on self-propelled floating sheerleg crane Cormorant,Merchant vessel 100 gross tons or over,https://www.gov.uk/maib-reports/persons-overboard-from-passenger-cruise-ship-saga-sapphire-during-a-lifeboat-drill-alongside-at-the-port-of-southampton-england-with-2-people-injured, 
23/03/2010,53.936749,-3.015382,"Location: Fleetwood Channel, England.",Grounding of ro-ro cargo ferry Stena Pioneer,Merchant vessel 100 gross tons or over,https://www.gov.uk/maib-reports/grounding-of-ro-ro-cargo-ferry-stena-pioneer-in-the-fleetwood-channel-england, 
26/03/2010,54.033495,-2.914292,"Location: Loading at Heysham Port, England.",Unintended movement of ro-ro passenger ferry Ben-My-Chree resulting in collapse of access structure trapping 8 people,Merchant vessel 100 gross tons or over,https://www.gov.uk/maib-reports/unintended-movement-during-loading-operations-of-ro-ro-passenger-ferry-ben-my-chree-at-heysham-port-england-resulting-in-collapse-of-passenger-access-structure-and-entrapment-of-8-passengers, 
28/03/2010,50.792918,-1.1072,"Location: Attempting to berth at Camber Basin, Portsmouth, England.",Contact made by ro-ro passenger ferry St Faith with linkspan fendering,Merchant vessel 100 gross tons or over,https://www.gov.uk/maib-reports/contact-made-by-ro-ro-passenger-ferry-st-faith-with-linkspan-fendering-during-berthing-operation-in-portsmouth-england, 
31/03/2010,50.811691,-1.096239,"Locations: Fendering while moving berth at Portsmouth, England.",Contact made by high speed passenger craft Norman Arrow with fendering and with mooring dolphin,Merchant vessel 100 gross tons or over,https://www.gov.uk/maib-reports/contact-made-by-high-speed-passenger-craft-norman-arrow-with-fendering-while-moving-berth-at-portsmouth-england-and-contact-with-mooring-dolphin-while-approach-berth-at-le-havre-france, 
10/04/2010,51.449907,0.340411,"Location: Northfleet, River Thames, England.",Crush incident while bulk carrier Fitnes was self-discharging cargo with loss of 1 life,Merchant vessel 100 gross tons or over,https://www.gov.uk/maib-reports/accident-to-person-while-bulk-carrier-fitnes-was-self-discharging-cargo-at-northfleet-river-thames-england-with-loss-of-1-life,Not sure about the exact location as description very vague
02/05/2010,50.775,-1.161667,"Location: Stokes Bay, near Gosport, England.",Fall from yard on fore mast on sail training ship TS Royalist with loss of 1 life,Merchant vessel under 100 gross tons and 1 others,https://www.gov.uk/maib-reports/fall-yard-on-the-fore-mast-on-sail-training-ship-ts-royalist-in-stokes-bay-near-gosport-england-with-loss-of-1-life, 
06/05/2010,51.401706,-3.155042,"Location: Bristol Channel, near Penath, Wales.",Heavy landing on a rigid inflatable boat with 1 person injured,Merchant vessel under 100 gross tons and 1 others,https://www.gov.uk/maib-reports/heavy-landing-during-boat-trip-on-the-rigid-inflatable-boat-celtic-pioneer-in-the-bristol-channel-near-penath-wales-with-1-person-injured, 
29/05/2010,57.144386,-2.079184,"Location: Aberdeen Harbour, Scotland.",Contact made by platform supply vessel Skandi Foula with supply vessel OMS Resolution,Merchant vessel 100 gross tons or over,https://www.gov.uk/maib-reports/contact-made-by-platform-supply-vessel-sbs-typhoon-with-standby-safety-vessel-vos-scout-and-platform-supply-vessel-ocean-search-in-aberdeen-harbour-scotland, 
05/06/2010,50.324567,-4.528553,"Location: 0.75 miles west of Polperro, Cornwall, England.",Grounding of trawler Girl Jane,Fishing vessel,https://www.gov.uk/maib-reports/grounding-of-trawler-girl-jane-off-polperro-cornwall-england, 
16/06/2010,50.3145,-1.496038,"Location: English Channel on passage to Portsmouth, England.",Fire in unaccompanied refrigerated trailer unit on main vehicle deck of ro-ro passenger ferry Commodore Clipper,Merchant vessel 100 gross tons or over,https://www.gov.uk/maib-reports/fire-started-by-unaccompanied-refrigerated-trailer-unit-on-main-vehicle-deck-of-ro-ro-passenger-ferry-commodore-clipper-in-the-english-channel-on-route-to-portsmouth-england, 
02/07/2010,56.568333,-5.531667,"Location: Glensanda Quarry, Loch Linnhe, Scotland.",Fire and explosion on bulk carrier Yeoman Bontrup,Merchant vessel 100 gross tons or over,https://www.gov.uk/maib-reports/fire-and-explosion-on-bulk-carrier-yeoman-bontrup-at-glensanda-quarry-loch-linnhe-scotland, 
04/07/2010,54.75278,-3.692713,"Location: Robin Rigg Offshore Wind Farm in the Solway Firth, Scotland.",Fire in engine room of wind farm workboat Windcat 3,Merchant vessel under 100 gross tons,https://www.gov.uk/maib-reports/fire-in-engine-room-of-wind-farm-workboat-windcat-3-in-the-solway-firth-scotland, 
19/07/2010,53.432831,-3.00256,"Location: Huskisson Dock No 3, Liverpool, England.",Catastrophic failure of the hull of dumb barge Henty Supplier,Merchant vessel 100 gross tons or over,https://www.gov.uk/maib-reports/catastrophic-failure-of-the-hull-of-dumb-barge-henty-supplier-at-huskisson-dock-in-liverpool-england, 
05/08/2010,55.984333,-2.107667,"Location: 4.2 miles off St Abb's Head, Scotland.",Collision between ro-ro passenger vessel Scottish Viking and prawn trawler Homeland with loss of 1 life,Merchant vessel 100 gross tons or over and 1 others,https://www.gov.uk/maib-reports/collision-between-ro-ro-passenger-vessel-scottish-viking-and-prawn-trawler-homeland-off-st-abb-s-head-scotland-with-loss-of-1-life, 
06/08/2010,55.234103,-6.281064,"Location: Carrickmannanon Rock, Ballycastle, Northern Ireland.",Grounding and sinking of sail training vessel Lord Rank,Merchant vessel 100 gross tons or over,https://www.gov.uk/maib-reports/grounding-of-sail-training-vessel-lord-rank-on-carrickmannanon-rock-ballycastle-northern-ireland-resulting-in-the-vessel-sinking, 
13/08/2010,51.565013,-3.833515,"Location: Off Port Talbot, England.",Contact made by bulk carrier Royal Oasis with anchored bulk carrier Berge Atlantic,Merchant vessel 100 gross tons or over,https://www.gov.uk/maib-reports/contact-made-by-bulk-carrier-royal-oasis-with-anchored-bulk-carrier-berge-atlantic-off-port-talbot-england, 
29/08/2010,53.629819,-0.188945,"Location: Immingham Docks, England.",Failure of controllable pitch propeller on cargo vessel CFL Patron resulting in contact with lock gates and tug Guardsman,Merchant vessel 100 gross tons or over,https://www.gov.uk/maib-reports/failure-of-controllable-pitch-propeller-system-on-general-cargo-vessel-cfl-patron-at-immingham-docks-england-resulting-in-contact-with-lock-gates-and-tug-guardsman, 
10/09/2010,60.488602,-1.038811,"Location: 0.1 nm south east of Burra Voe, Yell, Shetland Islands, Scotland.",Person overboard from potter Flying Cloud with loss of 1 life,Fishing vessel,https://www.gov.uk/maib-reports/person-overboard-from-potter-flying-cloud-off-burra-voe-shetland-islands-scotland-with-loss-of-1-life, 
11/09/2010,51.43974,-0.461093,"Location: Bedfont, Middlesex, England.",Fall from banana boat being towed by ski boat with loss of 1 life,Merchant vessel 100 gross tons or over and 1 others,https://www.gov.uk/maib-reports/fall-from-a-banana-boat-which-was-being-towed-by-ski-boat-at-a-water-sport-park-in-bedfont-england-with-loss-of-1-life, 
09/10/2010,57.693799,-1.918263,"Locations: Discovery, 3 miles east of Fraserburgh, Scotland/Breadwinner, 5.5 miles east of Score Head, Bressay, Scotland.",Persons overboard from creelers Discovery and Breadwinner during single handed operations with loss of 2 lives,Fishing vessel,https://www.gov.uk/maib-reports/persons-overboard-from-single-handed-creels-fishing-vessels-discovery-off-fraserburgh-and-breadwinner-off-bressay-scotland-with-loss-of-2-lives,"Fraserburgh coordinates, Discovery"
09/10/2010,60.191157,-0.907751,"Locations: Discovery, 3 miles east of Fraserburgh, Scotland/Breadwinner, 5.5 miles east of Score Head, Bressay, Scotland.",Persons overboard from creelers Discovery and Breadwinner during single handed operations with loss of 2 lives,Fishing vessel,https://www.gov.uk/maib-reports/persons-overboard-from-single-handed-creels-fishing-vessels-discovery-off-fraserburgh-and-breadwinner-off-bressay-scotland-with-loss-of-2-lives,"Score head coordinates,  Breadwinner"
27/10/2010,51.449907,-3.172358,"Location: Cardiff Bay, Wales.",Collision between 2 rigid inflatable boats carrying a number of children resulting in 3 people injured,Recreational craft - power,https://www.gov.uk/maib-reports/collision-between-2-rigid-inflatable-boats-while-transporting-a-number-of-children-across-cardiff-bay-wales-with-3-people-injured, 
05/12/2010,56.020776,-4.79259,"Location: 0.5nm north of Rhu Narrows, Gareloch, Argyll & Bute, Scotland.",Fire in engine room on tug SD Dexterous,Merchant vessel 100 gross tons or over,https://www.gov.uk/maib-reports/fire-in-engine-room-on-tug-sd-dexterous-off-gareloch-scotland, 
11/12/2010,53.444943,-3.011104,"Location: Langton-Alexandra swing bridge in the Port of Liverpool, England.",Contact made by bulk carrier Antonis with swing bridge,Merchant vessel 100 gross tons or over,https://www.gov.uk/maib-reports/contact-made-by-bulk-carrier-antonis-with-langton-alexandra-swing-bridge-in-the-port-of-liverpool-england, 
13/12/2010,55.946829,-4.664794,"Location: Berthed at Port Glasgow, Scotland.",Person overboard from general cargo vessel Joanna with loss of 1 life,Merchant vessel 100 gross tons or over,https://www.gov.uk/maib-reports/person-overboard-from-general-cargo-vessel-joanna-while-alongside-in-glasgow-scotland-with-loss-of-1-life, 
03/01/2011,54.261036,-5.60233,"Location: Entrance to Ardglass Harbour, County Down, Northern Ireland.",Grounding of stern prawn trawler Karen,Fishing vessel,https://www.gov.uk/maib-reports/grounding-of-stern-prawn-trawler-karen-at-entrance-to-ardglass-harbour-county-down-northern-ireland, 
06/01/2011,55.608333,-5.796667,"Location: West of Gigha, Scotland.",Person overboard from potter Blue Angel with 1 person injured,Fishing vessel,https://www.gov.uk/maib-reports/person-overboard-from-potter-blue-angel-off-gigha-scotland-with-injuries-to-1-person, 
12/01/2011,58.1655,-6.100167,"Location: Off Stornoway, Scotland.","Collision between prawn trawlers Sapphire II and Silver Chord, resulting in Sapphire II sinking",Fishing vessel,https://www.gov.uk/maib-reports/collision-between-prawn-trawlers-sapphire-ii-and-silver-chord-resulting-in-sapphire-ii-sinking-off-stornoway-scotland, 
31/01/2011,57.047184,-6.382198,"Location: Isle of Rum, Scotland.",Grounding of stern trawler Jack Abry II,Fishing vessel,https://www.gov.uk/maib-reports/grounding-of-stern-trawler-jack-abry-ii-on-the-isle-of-rum-scotland, 
07/02/2011,51.495405,-2.718595,"Location: Berth 3, Royal Portbury Dock, Bristol, England.",Parting of fall wire during a rescue boat drill on car carrier Tombarra with loss of 1 life,Merchant vessel 100 gross tons or over,https://www.gov.uk/maib-reports/parting-of-fall-wire-during-a-rescue-boat-drill-on-car-carrier-tombarra-at-royal-portbury-dock-bristol-with-loss-of-1-life, 
11/02/2011,49.725,-3.601667,"Location: 29nm off Start Point, Dartmouth, England.",Collision between container vessel Boxford and twin beam trawler Admiral Blake,Merchant vessel 100 gross tons or over and 1 others,https://www.gov.uk/maib-reports/collision-between-container-vessel-boxford-and-twin-beam-trawler-admiral-blake-in-the-english-channel-29-nautical-miles-off-start-point-dartmouth-england, 
26/02/2011,57.145936,-2.092284,"Location: Aberdeen Harbour, Scotland.",Contact made by platform supply vessel SBS Typhoon with standby safety vessel Vos Scout and platform supply vessel Ocean Search,Merchant vessel 100 gross tons or over,https://www.gov.uk/maib-reports/contact-made-by-platform-supply-vessel-sbs-typhoon-with-standby-safety-vessel-vos-scout-and-platform-supply-vessel-ocean-search-in-aberdeen-harbour-scotland, 
13/03/2011,55.79,-6.021667,"Location: South of Jura, Scotland.",Person overboard from landing craft Forth Guardsman during mooring operation with loss of 1 life,Merchant vessel 100 gross tons or over,https://www.gov.uk/maib-reports/person-overboard-from-landing-craft-forth-guardsman-during-mooring-operation-south-of-jura-scotland-with-loss-of-1-life, 
16/03/2011,55.007201,-1.424028,"Location: River Tyne, England.",Electrical failure and subsequent grounding of feeder container vessel Clonlee,Merchant vessel 100 gross tons or over,https://www.gov.uk/maib-reports/electrical-blackout-and-subsequent-grounding-of-feeder-container-vessel-clonlee-on-the-river-tyne-england, 
24/03/2011,50.176197,-4.059441,"Location: 9 miles east of Eddystone Rocks, off Cornwall, England.",Entanglement while hauling gear on stern trawler Our Boy Andrew with loss of 1 life,Fishing vessel,https://www.gov.uk/maib-reports/entanglement-while-hauling-gear-on-single-handed-stern-trawler-our-boy-andrew-east-of-eddystone-rocks-in-the-english-channel-with-loss-of-1-life, 
09/04/2011,53.99,-4.791667,Location: 6nm south of the Isle of Man.,Collision between container vessel Philipp and scallop dredger Lynn Marie,Merchant vessel 100 gross tons or over and 1 others,https://www.gov.uk/maib-reports/collision-between-container-vessel-philipp-and-scallop-dredger-lynn-marie-off-the-isle-of-man, 
15/05/2011,51.447905,0.340168,"Location: Bevans Wharf on the River Thames, England.",Contact made by container vessel CMA CGM Platon with wharf,Merchant vessel 100 gross tons or over,https://www.gov.uk/maib-reports/contact-by-container-vessel-cma-cgm-platon-with-bevans-wharf-on-the-river-thames-england, 
24/05/2011,54.034541,-2.916677,"Location: South Quay, Port of Heysham, England.",Contact made by ro-ro cargo ferry Clipper Point with quay and 2 berthed ships,Merchant vessel 100 gross tons or over,https://www.gov.uk/maib-reports/contact-made-by-ro-ro-cargo-ferry-clipper-point-with-quay-and-2-berthed-ships-at-the-port-of-heysham-england, 
28/05/2011,50.361039,-3.372159,"Location: Lyme Bay, England.",Accidental gybe on commercially operated sailing yacht Liquid Vortex with 1 person injured,Fishing vessel,https://www.gov.uk/maib-reports/capsize-of-multipurpose-fishing-vessel-betty-g-while-beam-trawling-in-lyme-bay-england, 
01/06/2011,51.509791,-0.104864,"Location: Blackfriars Road Bridge, River Thames, England.",Collision between rigid inflatable boat Morfil and high speed passenger catamaran Sun Clipper with 2 people ejected from Morfil,Merchant vessel under 100 gross tons and 1 others,https://www.gov.uk/maib-reports/collision-between-rigid-inflatable-boat-morfil-and-high-speed-passenger-catamaran-sun-clipper-by-blackfriars-road-bridge-river-thames-england-resulting-in-the-ejection-of-2-people-from-morfil, 
14/06/2011,52.113108,-5.039043,"Location: Off the coast of Pembrokeshire, Wales.",Person overboard from potter About Time with loss of 1 life,Fishing vessel,https://www.gov.uk/maib-reports/person-overboard-from-potter-about-time-off-the-pembrokeshire-coast-wales-with-loss-of-1-life, 
18/06/2011,50.483533,-0.774117,"Location: 14.5 miles south of Selsey Bill, West Sussex, England.",Person overboard while tethered to racing yacht Lion,Merchant vessel under 100 gross tons and 1 others,https://www.gov.uk/maib-reports/person-overboard-while-tethered-to-racing-yacht-lion-off-selsey-bill-west-sussex-england, 
25/06/2011,53.632723,-0.174365,"Location: Port of Immingham, England.",Failure of controllable pitch propeller on general cargo vessel Saffier resulting in contact with berthed tug Svitzer Ferriby,Merchant vessel 100 gross tons or over,https://www.gov.uk/maib-reports/failure-of-controllable-pitch-propeller-on-general-cargo-vessel-saffier-resulting-in-heavy-contact-with-berthed-tug-svitzer-ferriby-at-the-port-of-immingham-england, 
22/07/2011,54.992721,-7.313826,"Location: Berthed at Londonderry, Northern Ireland.",Derailment of hatch-lid gantry crane on dry cargo vessel Blue Note,Merchant vessel 100 gross tons or over,https://www.gov.uk/maib-reports/derailment-of-hatch-lid-gantry-crane-on-dry-cargo-vessel-blue-note-while-alongside-at-londonderry-northern-ireland, 
03/08/2011,50.171667,-5.628333,"Location: Near Pendeen Lighthouse, Cornwall, England.",Grounding of container vessel Karin Schepers,Merchant vessel 100 gross tons or over,https://www.gov.uk/maib-reports/grounding-of-container-vessel-karin-schepers-near-pendeen-lighthouse-cornwall-england, 
03/08/2011,51.496824,0.067377,"Location: River Thames, England.",Person overboard during unmooring operation on ro-ro passenger ferry Ernest Bevin with loss of 1 life,Merchant vessel 100 gross tons or over,https://www.gov.uk/maib-reports/person-overboard-during-unmooring-operation-on-the-woolwich-ro-ro-passenger-ferry-ernest-bevin-on-the-river-thames-england-with-loss-of-1-life, 
06/08/2011,57.507244,-6.926666,"Location: 6 miles west of Neist Point, Isle of Skye, Scotland.",Flooding and sinking of wooden trawler Vellee,Fishing vessel,https://www.gov.uk/maib-reports/flooding-and-sinking-of-wooden-trawler-vellee-west-of-neist-point-isle-of-skye-scotland, 
09/08/2011,56.571667,-5.953333,"Location: Sound of Mull, Scotland.",Grounding of bulk carrier CSL Thames,Merchant vessel 100 gross tons or over,https://www.gov.uk/maib-reports/grounding-of-bulk-carrier-csl-thames-in-the-sound-of-mull-scotland, 
12/08/2011,51.48475,-0.014167,"Location: Greenwich Reach, River Thames, England.",Collision between tug Chiefton and its tow resulting in tug capsizing and sinking with loss of 1 life,Merchant vessel under 100 gross tons,https://www.gov.uk/maib-reports/capsize-and-sinking-of-tug-chiefton-after-a-collision-with-its-tow-at-greenwich-reach-river-thames-england-with-loss-of-1-life, 
23/08/2011,56.062879,-4.826249,"Location: HM Naval Base, Faslane, Scotland.",Accidental discharge of carbon dioxide during fixed CO2 fire extinguishing system test on tug SD Nimble with 1 person injured,Merchant vessel 100 gross tons or over,https://www.gov.uk/maib-reports/accidental-discharge-of-carbon-dioxide-when-testing-the-fixed-co2-fire-extinguishing-system-on-tug-sd-nimble-at-hm-naval-base-faslane-scotland-with-1-person-injured, 
25/08/2011,58.817919,-0.723137,"Location: Devenick Oil Field, 126 nautical miles north-north-east of Aberdeen, Scotland.",Carbon monoxide poisoning from portable petrol pump on pair trawler/guard ship Starlight Rays with loss of 1 life,Fishing vessel,https://www.gov.uk/maib-reports/carbon-monoxide-poisoning-when-using-a-portable-petrol-engine-driven-pump-on-pair-trawler-starlight-rays-which-was-operating-as-guard-ship-at-devenick-oil-field-126-nautical-miles-off-aberdeen-scotland-with-loss-of-1-life, 
07/09/2011,58.676667,-3.131667,"Location: Island of Stroma, Scotland.",Grounding of scallop dredger Golden Promise,Fishing vessel,https://www.gov.uk/maib-reports/grounding-of-scallop-dredger-golden-promise-on-the-island-of-stroma, 
17/09/2011,50.885773,-1.397308,"Serious damage to freight carrier and no. 105 linkspan at the Port of Southampton, England.",Contact made by ro-ro freight carrier Gran Canaria Car and linkspan,Merchant vessel 100 gross tons or over,https://www.gov.uk/maib-reports/contact-made-by-ro-ro-freight-carrier-gran-canaria-car-and-linkspan, 
05/10/2011,51.507337,-0.079097,"Location: Tower Millennium Pier on the River Thames, England.",Steering control failure on high-speed passenger catamaran Moon Clipper resulting in contact with pier and several people injured,Merchant vessel 100 gross tons or over,https://www.gov.uk/maib-reports/steering-control-failure-on-high-speed-passenger-catamaran-moon-clipper-resulting-in-contact-with-tower-millennium-pier-on-the-river-thames-england-with-several-people-injured, 
27/10/2011,52.266042,-7.031261,"Location: Berthed at Belview Port, Waterford, Republic of Ireland.",Fall into void space during cargo operations on general cargo vessel Scot Pioneer with loss of 1 life,Merchant vessel 100 gross tons or over,https://www.gov.uk/maib-reports/fall-into-void-space-during-cargo-operations-on-general-cargo-vessel-scot-pioneer-alongside-at-belview-port-waterford-republic-of-ireland-with-loss-of-1-life, 
21/11/2011,54.259842,-5.599219,"Location: Entrance to Ardglass Harbour, Northern Ireland.",Grounding of scallop dredger Moyuna,Fishing vessel,https://www.gov.uk/maib-reports/grounding-of-scallop-fishing-vessel-moyuna-at-entrance-to-ardglass-harbour-northern-ireland, 
21/11/2011,53.45269,-3.04346,"Location: Crosby Channel, Liverpool, England.",Crush incident between vent and buoy on mooring vessel Cameron during maintenance operation with 1 person injured,Merchant vessel 100 gross tons or over,https://www.gov.uk/maib-reports/crush-incident-between-air-vent-and-navigation-buoy-on-mooring-vessel-cameron-during-a-buoy-maintenance-operation-in-the-crosby-channel-liverpool-england-with-1-person-injured, 
26/11/2011,55.550852,-4.682364,"Location: Operating in and around the Firth of Clyde and Troon Harbour, Scotland.","Series of accidents including windlass damage, grounding and 1 person injured on ro-ro cargo ferry Norcape",Merchant vessel 100 gross tons or over,https://www.gov.uk/maib-reports/series-of-accidents-including-windlass-damage-grounding-and-1-person-injured-on-ro-ro-cargo-ferry-norcape-while-operating-in-and-around-troon-harbour-scotland, 
27/11/2011,52.871667,-5.080001,Location: Irish Sea.,Structural failure of general cargo vessel Swanland resulting in it sinking with loss of 6 lives,Merchant vessel 100 gross tons or over,https://www.gov.uk/maib-reports/structural-failure-of-general-cargo-vessel-swanland-in-the-irish-sea-resulting-in-the-vessel-sinking-with-loss-of-6-lives, 
17/12/2011,51.954171,1.310158,"Location: Berthed at the Port of Felixstowe, England",Fall into partially open cargo hold on container vessel Tempanos with loss of 1 life,Merchant vessel 100 gross tons or over,https://www.gov.uk/maib-reports/fall-into-partially-open-cargo-hold-on-container-vessel-tempanos-while-alongside-at-the-port-of-felixstowe-england-with-loss-of-1-life, 
19/12/2011,50.464525,0.781166,Maltese registered bulk carrier and UK registered fishing vessel collide in the NE traffic lane of the Dover Strait.,Collision between bulk carrier Alex D and beam trawler Jacoba,Merchant vessel 100 gross tons or over and 1 others,https://www.gov.uk/maib-reports/collision-between-bulk-carrier-alex-d-and-beam-trawler-jacoba, 
