Distance,Knots,Shannon,Severn,Trent,Tyne,Mersey,E_Class,D_Class,B_Class,Arancia,Atlantic_75_B_Class,Atlantic_85_B_Class,Tamar,Station,Shape_Length,Shape_Area,Station_ID
8,16,0,0,0,1,1,0,0,0,0,0,0,0,ALDEBURGH,2.073711,0.050368,3624
12.5,25,1,1,1,0,0,0,1,0,0,1,1,1,ALDEBURGH,3.001785,0.124501,3624
17,34,0,0,0,0,0,0,0,1,0,0,0,0,ALDEBURGH,4.170654,0.230562,3624
20,40,0,0,0,0,0,1,0,0,0,0,0,0,ALDEBURGH,5.162172,0.322605,3624
24,48,0,0,0,0,0,0,0,0,0,0,0,0,ALDEBURGH,8.561412,0.465827,3624
8,16,0,0,0,1,1,0,0,0,0,0,0,0,HARWICH,3.956649,0.03676,3646
12.5,25,1,1,1,0,0,0,1,0,0,1,1,1,HARWICH,5.54634,0.091464,3646
17,34,0,0,0,0,0,0,0,1,0,0,0,0,HARWICH,6.901861,0.176493,3646
20,40,0,0,0,0,0,1,0,0,0,0,0,0,HARWICH,8.046418,0.257599,3646
24,48,0,0,0,0,0,0,0,0,0,0,0,0,HARWICH,11.113055,0.384929,3646
8,16,0,0,0,1,1,0,0,0,0,0,0,0,WALTON & FRINTON,3.156357,0.057444,3668
12.5,25,1,1,1,0,0,0,1,0,0,1,1,1,WALTON & FRINTON,5.08551,0.139215,3668
17,34,0,0,0,0,0,0,0,1,0,0,0,0,WALTON & FRINTON,9.121301,0.251033,3668
20,40,0,0,0,0,0,1,0,0,0,0,0,0,WALTON & FRINTON,10.930928,0.333939,3668
24,48,0,0,0,0,0,0,0,0,0,0,0,0,WALTON & FRINTON,13.605627,0.466253,3668
8,16,0,0,0,1,1,0,0,0,0,0,0,0,CLACTON-ON-SEA,2.144348,0.055025,3708
12.5,25,1,1,1,0,0,0,1,0,0,1,1,1,CLACTON-ON-SEA,6.818289,0.131204,3708
17,34,0,0,0,0,0,0,0,1,0,0,0,0,CLACTON-ON-SEA,9.914339,0.231324,3708
20,40,0,0,0,0,0,1,0,0,0,0,0,0,CLACTON-ON-SEA,12.332205,0.313215,3708
24,48,0,0,0,0,0,0,0,0,0,0,0,0,CLACTON-ON-SEA,14.599308,0.442301,3708
8,16,0,0,0,1,1,0,0,0,0,0,0,0,WEST MERSEA,4.66897,0.023444,3710
12.5,25,1,1,1,0,0,0,1,0,0,1,1,1,WEST MERSEA,5.76405,0.054398,3710
17,34,0,0,0,0,0,0,0,1,0,0,0,0,WEST MERSEA,7.841462,0.111461,3710
20,40,0,0,0,0,0,1,0,0,0,0,0,0,WEST MERSEA,10.471228,0.170159,3710
24,48,0,0,0,0,0,0,0,0,0,0,0,0,WEST MERSEA,11.978529,0.269915,3710
8,16,0,0,0,1,1,0,0,0,0,0,0,0,BURNHAM-ON-CROUCH,3.293225,0.01167,4500
12.5,25,1,1,1,0,0,0,1,0,0,1,1,1,BURNHAM-ON-CROUCH,4.342213,0.064792,4500
17,34,0,0,0,0,0,0,0,1,0,0,0,0,BURNHAM-ON-CROUCH,8.489105,0.14094,4500
20,40,0,0,0,0,0,1,0,0,0,0,0,0,BURNHAM-ON-CROUCH,12.644332,0.194536,4500
24,48,0,0,0,0,0,0,0,0,0,0,0,0,BURNHAM-ON-CROUCH,15.317775,0.255821,4500
8,16,0,0,0,1,1,0,0,0,0,0,0,0,SOUTHEND-ON-SEA,3.92855,0.035336,4522
12.5,25,1,1,1,0,0,0,1,0,0,1,1,1,SOUTHEND-ON-SEA,7.910588,0.071657,4522
17,34,0,0,0,0,0,0,0,1,0,0,0,0,SOUTHEND-ON-SEA,10.404447,0.121652,4522
20,40,0,0,0,0,0,1,0,0,0,0,0,0,SOUTHEND-ON-SEA,11.372257,0.159542,4522
24,48,0,0,0,0,0,0,0,0,0,0,0,0,SOUTHEND-ON-SEA,14.317437,0.21474,4522
8,16,0,0,0,1,1,0,0,0,0,0,0,0,TOWER,0.998186,0.001183,4533
12.5,25,1,1,1,0,0,0,1,0,0,1,1,1,TOWER,1.58457,0.002058,4533
17,34,0,0,0,0,0,0,0,1,0,0,0,0,TOWER,2.054467,0.003068,4533
20,40,0,0,0,0,0,1,0,0,0,0,0,0,TOWER,2.254762,0.003951,4533
24,48,0,0,0,0,0,0,0,0,0,0,0,0,TOWER,2.493394,0.00495,4533
8,16,0,0,0,1,1,0,0,0,0,0,0,0,CHISWICK,0.801405,0.000626,4536
12.5,25,1,1,1,0,0,0,1,0,0,1,1,1,CHISWICK,1.090477,0.000976,4536
17,34,0,0,0,0,0,0,0,1,0,0,0,0,CHISWICK,1.463402,0.001591,4536
20,40,0,0,0,0,0,1,0,0,0,0,0,0,CHISWICK,1.714965,0.00214,4536
24,48,0,0,0,0,0,0,0,0,0,0,0,0,CHISWICK,2.037222,0.003007,4536
8,16,0,0,0,1,1,0,0,0,0,0,0,0,TEDDINGTON,0.45482,0.000241,4539
12.5,25,1,1,1,0,0,0,1,0,0,1,1,1,TEDDINGTON,0.689688,0.000486,4539
17,34,0,0,0,0,0,0,0,1,0,0,0,0,TEDDINGTON,0.927065,0.00077,4539
20,40,0,0,0,0,0,1,0,0,0,0,0,0,TEDDINGTON,1.125279,0.001047,4539
24,48,0,0,0,0,0,0,0,0,0,0,0,0,TEDDINGTON,1.472946,0.001619,4539
8,16,0,0,0,1,1,0,0,0,0,0,0,0,GRAVESEND,1.267292,0.006092,4530
12.5,25,1,1,1,0,0,0,1,0,0,1,1,1,GRAVESEND,2.889259,0.012588,4530
17,34,0,0,0,0,0,0,0,1,0,0,0,0,GRAVESEND,3.942776,0.023714,4530
20,40,0,0,0,0,0,1,0,0,0,0,0,0,GRAVESEND,6.221224,0.037667,4530
24,48,0,0,0,0,0,0,0,0,0,0,0,0,GRAVESEND,8.891636,0.060927,4530
8,16,0,0,0,1,1,0,0,0,0,0,0,0,SHEERNESS,4.699096,0.040166,4544
12.5,25,1,1,1,0,0,0,1,0,0,1,1,1,SHEERNESS,7.880381,0.076023,4544
17,34,0,0,0,0,0,0,0,1,0,0,0,0,SHEERNESS,10.12006,0.118285,4544
20,40,0,0,0,0,0,1,0,0,0,0,0,0,SHEERNESS,11.120441,0.152735,4544
24,48,0,0,0,0,0,0,0,0,0,0,0,0,SHEERNESS,12.7513,0.208188,4544
8,16,0,0,0,1,1,0,0,0,0,0,0,0,WHITSTABLE,1.574437,0.038741,4566
12.5,25,1,1,1,0,0,0,1,0,0,1,1,1,WHITSTABLE,2.620117,0.092322,4566
17,34,0,0,0,0,0,0,0,1,0,0,0,0,WHITSTABLE,5.96328,0.158135,4566
20,40,0,0,0,0,0,1,0,0,0,0,0,0,WHITSTABLE,8.940018,0.211289,4566
24,48,0,0,0,0,0,0,0,0,0,0,0,0,WHITSTABLE,11.538507,0.301099,4566
8,16,0,0,0,1,1,0,0,0,0,0,0,0,MARGATE,1.335003,0.060482,4588
12.5,25,1,1,1,0,0,0,1,0,0,1,1,1,MARGATE,2.483184,0.157098,4588
17,34,0,0,0,0,0,0,0,1,0,0,0,0,MARGATE,3.56555,0.296697,4588
20,40,0,0,0,0,0,1,0,0,0,0,0,0,MARGATE,4.614143,0.412061,4588
24,48,0,0,0,0,0,0,0,0,0,0,0,0,MARGATE,6.607982,0.5906,4588
8,16,0,0,0,1,1,0,0,0,0,0,0,0,RAMSGATE,1.757079,0.050788,4608
12.5,25,1,1,1,0,0,0,1,0,0,1,1,1,RAMSGATE,2.756893,0.135997,4608
17,34,0,0,0,0,0,0,0,1,0,0,0,0,RAMSGATE,3.777104,0.271905,4608
24,48,0,0,0,0,0,0,0,0,0,0,0,0,RAMSGATE,5.204583,0.591201,4608
8,16,0,0,0,1,1,0,0,0,0,0,0,0,WALMER,1.437748,0.050562,4626
12.5,25,1,1,1,0,0,0,1,0,0,1,1,1,WALMER,2.607241,0.127208,4626
17,34,0,0,0,0,0,0,0,1,0,0,0,0,WALMER,3.713926,0.254867,4626
24,48,0,0,0,0,0,0,0,0,0,0,0,0,WALMER,4.922903,0.556736,4626
8,16,0,0,0,1,1,0,0,0,0,0,0,0,DOVER,1.243139,0.050986,5113
12.5,25,1,1,1,0,0,0,1,0,0,1,1,1,DOVER,1.892855,0.132945,5113
17,34,0,0,0,0,0,0,0,1,0,0,0,0,DOVER,2.909377,0.247396,5113
24,48,0,0,0,0,0,0,0,0,0,0,0,0,DOVER,4.67562,0.501431,5113
8,16,0,0,0,1,1,0,0,0,0,0,0,0,HAYLING ISLAND,2.645603,0.043376,5320
12.5,25,1,1,1,0,0,0,1,0,0,1,1,1,HAYLING ISLAND,4.177523,0.098804,5320
17,34,0,0,0,0,0,0,0,1,0,0,0,0,HAYLING ISLAND,5.552993,0.175007,5320
20,40,0,0,0,0,0,1,0,0,0,0,0,0,HAYLING ISLAND,7.453638,0.240339,5320
24,48,0,0,0,0,0,0,0,0,0,0,0,0,HAYLING ISLAND,9.350212,0.348145,5320
8,16,0,0,0,1,1,0,0,0,0,0,0,0,PORTSMOUTH,3.08249,0.041249,5337
12.5,25,1,1,1,0,0,0,1,0,0,1,1,1,PORTSMOUTH,4.402853,0.08398,5337
17,34,0,0,0,0,0,0,0,1,0,0,0,0,PORTSMOUTH,6.925469,0.151772,5337
20,40,0,0,0,0,0,1,0,0,0,0,0,0,PORTSMOUTH,8.124357,0.211612,5337
24,48,0,0,0,0,0,0,0,0,0,0,0,0,PORTSMOUTH,9.413207,0.315995,5337
8,16,0,0,0,1,1,0,0,0,0,0,0,0,CALSHOT,3.237568,0.022479,5343
12.5,25,1,1,1,0,0,0,1,0,0,1,1,1,CALSHOT,5.172404,0.039915,5343
17,34,0,0,0,0,0,0,0,1,0,0,0,0,CALSHOT,7.111188,0.084306,5343
20,40,0,0,0,0,0,1,0,0,0,0,0,0,CALSHOT,8.287706,0.134009,5343
24,48,0,0,0,0,0,0,0,0,0,0,0,0,CALSHOT,9.525977,0.229299,5343
8,16,0,0,0,1,1,0,0,0,0,0,0,0,LYMINGTON,2.123984,0.02244,5359
12.5,25,1,1,1,0,0,0,1,0,0,1,1,1,LYMINGTON,3.927504,0.066387,5359
17,34,0,0,0,0,0,0,0,1,0,0,0,0,LYMINGTON,5.681593,0.131482,5359
20,40,0,0,0,0,0,1,0,0,0,0,0,0,LYMINGTON,7.782323,0.187607,5359
24,48,0,0,0,0,0,0,0,0,0,0,0,0,LYMINGTON,10.892216,0.291168,5359
8,16,0,0,0,1,1,0,0,0,0,0,0,0,BEMBRIDGE,2.066027,0.061162,5471
12.5,25,1,1,1,0,0,0,1,0,0,1,1,1,BEMBRIDGE,4.641897,0.129428,5471
17,34,0,0,0,0,0,0,0,1,0,0,0,0,BEMBRIDGE,7.299493,0.226817,5471
20,40,0,0,0,0,0,1,0,0,0,0,0,0,BEMBRIDGE,8.573156,0.309876,5471
24,48,0,0,0,0,0,0,0,0,0,0,0,0,BEMBRIDGE,9.724108,0.444357,5471
8,16,0,0,0,1,1,0,0,0,0,0,0,0,COWES,2.935227,0.025018,5485
12.5,25,1,1,1,0,0,0,1,0,0,1,1,1,COWES,5.517047,0.04886,5485
17,34,0,0,0,0,0,0,0,1,0,0,0,0,COWES,7.467231,0.106508,5485
20,40,0,0,0,0,0,1,0,0,0,0,0,0,COWES,8.735482,0.163737,5485
24,48,0,0,0,0,0,0,0,0,0,0,0,0,COWES,9.721809,0.273891,5485
8,16,0,0,0,1,1,0,0,0,0,0,0,0,YARMOUTH,2.27648,0.032583,5492
12.5,25,1,1,1,0,0,0,1,0,0,1,1,1,YARMOUTH,4.099978,0.0854,5492
17,34,0,0,0,0,0,0,0,1,0,0,0,0,YARMOUTH,5.965236,0.158602,5492
20,40,0,0,0,0,0,1,0,0,0,0,0,0,YARMOUTH,8.441966,0.22191,5492
24,48,0,0,0,0,0,0,0,0,0,0,0,0,YARMOUTH,11.046459,0.337239,5492
8,16,0,0,0,1,1,0,0,0,0,0,0,0,MUDEFORD,1.486736,0.043108,6506
12.5,25,1,1,1,0,0,0,1,0,0,1,1,1,MUDEFORD,4.035129,0.094715,6506
17,34,0,0,0,0,0,0,0,1,0,0,0,0,MUDEFORD,5.780975,0.161727,6506
20,40,0,0,0,0,0,1,0,0,0,0,0,0,MUDEFORD,6.774688,0.222483,6506
24,48,0,0,0,0,0,0,0,0,0,0,0,0,MUDEFORD,8.377732,0.325137,6506
8,16,0,0,0,1,1,0,0,0,0,0,0,0,POOLE,2.445294,0.020151,6515
12.5,25,1,1,1,0,0,0,1,0,0,1,1,1,POOLE,3.324825,0.057016,6515
17,34,0,0,0,0,0,0,0,1,0,0,0,0,POOLE,4.080102,0.122965,6515
20,40,0,0,0,0,0,1,0,0,0,0,0,0,POOLE,4.904076,0.18256,6515
24,48,0,0,0,0,0,0,0,0,0,0,0,0,POOLE,6.045757,0.278972,6515
8,16,0,0,0,1,1,0,0,0,0,0,0,0,SWANAGE,2.305451,0.061524,6522
12.5,25,1,1,1,0,0,0,1,0,0,1,1,1,SWANAGE,3.990852,0.142008,6522
17,34,0,0,0,0,0,0,0,1,0,0,0,0,SWANAGE,4.807239,0.248006,6522
20,40,0,0,0,0,0,1,0,0,0,0,0,0,SWANAGE,5.802513,0.331849,6522
24,48,0,0,0,0,0,0,0,0,0,0,0,0,SWANAGE,7.483696,0.456186,6522
8,16,0,0,0,1,1,0,0,0,0,0,0,0,LITTLESTONE-ON-SEA,0.898979,0.04157,5135
12.5,25,1,1,1,0,0,0,1,0,0,1,1,1,LITTLESTONE-ON-SEA,1.547486,0.10802,5135
17,34,0,0,0,0,0,0,0,1,0,0,0,0,LITTLESTONE-ON-SEA,2.375257,0.201613,5135
20,40,0,0,0,0,0,1,0,0,0,0,0,0,LITTLESTONE-ON-SEA,2.763148,0.279536,5135
24,48,0,0,0,0,0,0,0,0,0,0,0,0,LITTLESTONE-ON-SEA,3.326813,0.408813,5135
8,16,0,0,0,1,1,0,0,0,0,0,0,0,DUNGENESS,1.186749,0.067122,5146
12.5,25,1,1,1,0,0,0,1,0,0,1,1,1,DUNGENESS,1.871509,0.151649,5146
17,34,0,0,0,0,0,0,0,1,0,0,0,0,DUNGENESS,2.465968,0.261455,5146
20,40,0,0,0,0,0,1,0,0,0,0,0,0,DUNGENESS,3.003785,0.35097,5146
24,48,0,0,0,0,0,0,0,0,0,0,0,0,DUNGENESS,3.527257,0.492443,5146
8,16,0,0,0,1,1,0,0,0,0,0,0,0,RYE HARBOUR,0.910554,0.025634,5167
12.5,25,1,1,1,0,0,0,1,0,0,1,1,1,RYE HARBOUR,1.552395,0.076358,5167
17,34,0,0,0,0,0,0,0,1,0,0,0,0,RYE HARBOUR,2.148444,0.165402,5167
20,40,0,0,0,0,0,1,0,0,0,0,0,0,RYE HARBOUR,2.540254,0.24173,5167
24,48,0,0,0,0,0,0,0,0,0,0,0,0,RYE HARBOUR,3.033417,0.358353,5167
8,16,0,0,0,1,1,0,0,0,0,0,0,0,HASTINGS,1.011459,0.049,5189
12.5,25,1,1,1,0,0,0,1,0,0,1,1,1,HASTINGS,1.733028,0.114716,5189
17,34,0,0,0,0,0,0,0,1,0,0,0,0,HASTINGS,2.303845,0.201144,5189
20,40,0,0,0,0,0,1,0,0,0,0,0,0,HASTINGS,2.799067,0.281751,5189
24,48,0,0,0,0,0,0,0,0,0,0,0,0,HASTINGS,3.552955,0.418061,5189
8,16,0,0,0,1,1,0,0,0,0,0,0,0,EASTBOURNE,1.064319,0.046333,5211
12.5,25,1,1,1,0,0,0,1,0,0,1,1,1,EASTBOURNE,1.87456,0.117709,5211
17,34,0,0,0,0,0,0,0,1,0,0,0,0,EASTBOURNE,2.704025,0.222854,5211
20,40,0,0,0,0,0,1,0,0,0,0,0,0,EASTBOURNE,3.33154,0.313398,5211
24,48,0,0,0,0,0,0,0,0,0,0,0,0,EASTBOURNE,4.127104,0.455368,5211
8,16,0,0,0,1,1,0,0,0,0,0,0,0,NEWHAVEN,1.570223,0.03901,5233
12.5,25,1,1,1,0,0,0,1,0,0,1,1,1,NEWHAVEN,2.286482,0.103526,5233
17,34,0,0,0,0,0,0,0,1,0,0,0,0,NEWHAVEN,3.162745,0.202269,5233
20,40,0,0,0,0,0,1,0,0,0,0,0,0,NEWHAVEN,3.666099,0.283955,5233
24,48,0,0,0,0,0,0,0,0,0,0,0,0,NEWHAVEN,4.349835,0.413258,5233
8,16,0,0,0,1,1,0,0,0,0,0,0,0,BRIGHTON,1.213128,0.042884,5255
12.5,25,1,1,1,0,0,0,1,0,0,1,1,1,BRIGHTON,2.241058,0.099746,5255
17,34,0,0,0,0,0,0,0,1,0,0,0,0,BRIGHTON,3.291996,0.182452,5255
20,40,0,0,0,0,0,1,0,0,0,0,0,0,BRIGHTON,3.908365,0.256093,5255
24,48,0,0,0,0,0,0,0,0,0,0,0,0,BRIGHTON,4.654702,0.376157,5255
8,16,0,0,0,1,1,0,0,0,0,0,0,0,SHOREHAM HARBOUR,1.351625,0.038353,5277
12.5,25,1,1,1,0,0,0,1,0,0,1,1,1,SHOREHAM HARBOUR,2.06951,0.093494,5277
17,34,0,0,0,0,0,0,0,1,0,0,0,0,SHOREHAM HARBOUR,3.080739,0.171969,5277
20,40,0,0,0,0,0,1,0,0,0,0,0,0,SHOREHAM HARBOUR,3.971043,0.23651,5277
24,48,0,0,0,0,0,0,0,0,0,0,0,0,SHOREHAM HARBOUR,4.890617,0.340834,5277
8,16,0,0,0,1,1,0,0,0,0,0,0,0,LITTLEHAMPTON,1.386172,0.038206,5299
12.5,25,1,1,1,0,0,0,1,0,0,1,1,1,LITTLEHAMPTON,2.49364,0.095279,5299
17,34,0,0,0,0,0,0,0,1,0,0,0,0,LITTLEHAMPTON,3.524988,0.182593,5299
20,40,0,0,0,0,0,1,0,0,0,0,0,0,LITTLEHAMPTON,4.605682,0.258966,5299
24,48,0,0,0,0,0,0,0,0,0,0,0,0,LITTLEHAMPTON,6.23234,0.375662,5299
8,16,0,0,0,1,1,0,0,0,0,0,0,0,SELSEY,1.479631,0.062935,5315
12.5,25,1,1,1,0,0,0,1,0,0,1,1,1,SELSEY,3.470281,0.146823,5315
17,34,0,0,0,0,0,0,0,1,0,0,0,0,SELSEY,5.180226,0.246771,5315
20,40,0,0,0,0,0,1,0,0,0,0,0,0,SELSEY,6.003473,0.32468,5315
24,48,0,0,0,0,0,0,0,0,0,0,0,0,SELSEY,8.10014,0.44858,5315
8,16,0,0,0,1,1,0,0,0,0,0,0,0,WEYMOUTH,1.889966,0.046213,6544
12.5,25,1,1,1,0,0,0,1,0,0,1,1,1,WEYMOUTH,2.520466,0.117123,6544
17,34,0,0,0,0,0,0,0,1,0,0,0,0,WEYMOUTH,3.101689,0.217272,6544
20,40,0,0,0,0,0,1,0,0,0,0,0,0,WEYMOUTH,3.529946,0.301369,6544
24,48,0,0,0,0,0,0,0,0,0,0,0,0,WEYMOUTH,4.165516,0.438641,6544
8,16,0,0,0,1,1,0,0,0,0,0,0,0,LYME REGIS,1.058126,0.039905,6565
12.5,25,1,1,1,0,0,0,1,0,0,1,1,1,LYME REGIS,1.542577,0.093738,6565
17,34,0,0,0,0,0,0,0,1,0,0,0,0,LYME REGIS,2.284769,0.165215,6565
20,40,0,0,0,0,0,1,0,0,0,0,0,0,LYME REGIS,2.832986,0.222554,6565
24,48,0,0,0,0,0,0,0,0,0,0,0,0,LYME REGIS,4.067215,0.316767,6565
8,16,0,0,0,1,1,0,0,0,0,0,0,0,EXMOUTH,1.584639,0.033738,6586
12.5,25,1,1,1,0,0,0,1,0,0,1,1,1,EXMOUTH,2.243216,0.081243,6586
17,34,0,0,0,0,0,0,0,1,0,0,0,0,EXMOUTH,2.900889,0.143746,6586
20,40,0,0,0,0,0,1,0,0,0,0,0,0,EXMOUTH,3.370055,0.196669,6586
24,48,0,0,0,0,0,0,0,0,0,0,0,0,EXMOUTH,4.14187,0.28463,6586
8,16,0,0,0,1,1,0,0,0,0,0,0,0,TEIGNMOUTH,1.430891,0.038658,6598
12.5,25,1,1,1,0,0,0,1,0,0,1,1,1,TEIGNMOUTH,2.408121,0.086296,6598
17,34,0,0,0,0,0,0,0,1,0,0,0,0,TEIGNMOUTH,3.167597,0.157539,6598
20,40,0,0,0,0,0,1,0,0,0,0,0,0,TEIGNMOUTH,3.844573,0.217257,6598
24,48,0,0,0,0,0,0,0,0,0,0,0,0,TEIGNMOUTH,4.499771,0.308989,6598
8,16,0,0,0,1,1,0,0,0,0,0,0,0,TORBAY,1.458293,0.049641,6609
12.5,25,1,1,1,0,0,0,1,0,0,1,1,1,TORBAY,2.641384,0.121645,6609
17,34,0,0,0,0,0,0,0,1,0,0,0,0,TORBAY,3.682199,0.216499,6609
20,40,0,0,0,0,0,1,0,0,0,0,0,0,TORBAY,4.546936,0.297621,6609
24,48,0,0,0,0,0,0,0,0,0,0,0,0,TORBAY,5.56063,0.428723,6609
8,16,0,0,0,1,1,0,0,0,0,0,0,0,DART,1.607195,0.033213,6613
12.5,25,1,1,1,0,0,0,1,0,0,1,1,1,DART,2.436529,0.09576,6613
17,34,0,0,0,0,0,0,0,1,0,0,0,0,DART,3.695862,0.197495,6613
20,40,0,0,0,0,0,1,0,0,0,0,0,0,DART,4.572455,0.288228,6613
24,48,0,0,0,0,0,0,0,0,0,0,0,0,DART,5.740126,0.4354,6613
8,16,0,0,0,1,1,0,0,0,0,0,0,0,SALCOMBE,1.718853,0.041112,6617
12.5,25,1,1,1,0,0,0,1,0,0,1,1,1,SALCOMBE,2.714877,0.121335,6617
17,34,0,0,0,0,0,0,0,1,0,0,0,0,SALCOMBE,3.984129,0.236766,6617
20,40,0,0,0,0,0,1,0,0,0,0,0,0,SALCOMBE,5.372306,0.337709,6617
24,48,0,0,0,0,0,0,0,0,0,0,0,0,SALCOMBE,7.20905,0.504504,6617
8,16,0,0,0,1,1,0,0,0,0,0,0,0,PLYMOUTH,3.338783,0.03061,6716
12.5,25,1,1,1,0,0,0,1,0,0,1,1,1,PLYMOUTH,4.571275,0.083992,6716
17,34,0,0,0,0,0,0,0,1,0,0,0,0,PLYMOUTH,5.473999,0.154005,6716
20,40,0,0,0,0,0,1,0,0,0,0,0,0,PLYMOUTH,6.123293,0.21389,6716
24,48,0,0,0,0,0,0,0,0,0,0,0,0,PLYMOUTH,7.448469,0.314517,6716
8,16,0,0,0,1,1,0,0,0,0,0,0,0,LOOE,1.144094,0.039718,6725
12.5,25,1,1,1,0,0,0,1,0,0,1,1,1,LOOE,2.302301,0.097775,6725
17,34,0,0,0,0,0,0,0,1,0,0,0,0,LOOE,4.141836,0.173589,6725
20,40,0,0,0,0,0,1,0,0,0,0,0,0,LOOE,5.659201,0.236447,6725
24,48,0,0,0,0,0,0,0,0,0,0,0,0,LOOE,6.974661,0.330915,6725
8,16,0,0,0,1,1,0,0,0,0,0,0,0,FOWEY,1.583869,0.037361,6738
12.5,25,1,1,1,0,0,0,1,0,0,1,1,1,FOWEY,2.310981,0.089479,6738
